TR:primarytumor1:CellLine,TR:EGFRi,TR:JAKi,TR:AktPi,TR:PDPK1i,TR:MEKi,TR:AktMi,TR:IKKsi,TR:PI3Ki,TR:TNF,TR:EGF,DA:ALL,DV:Cas3
1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0
1,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,1,0,0
1,0,1,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,0,0,1,0,0,0,1,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0
1,0,0,1,1,0,1,0,0,0,1,0,0
1,0,0,0,0,1,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,0,0,1,0,0
1,0,0,1,1,0,0,1,0,0,1,0,0
1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1,0,0
1,0,1,0,0,0,0,0,1,0,1,0,0
1,0,0,1,1,0,0,0,1,0,1,0,0
1,0,0,0,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,1,0,1,0,0
1,0,0,0,0,0,0,0,0,1,1,0,0
1,1,0,0,0,0,0,0,0,1,1,0,0
1,0,1,0,0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,0,0,1,1,0,0
1,0,0,0,0,1,0,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,0,1,0,1,1,0,0
1,0,0,0,0,0,0,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,1,30,0
1,1,0,0,0,0,0,0,0,0,1,30,0.298584625435794
1,0,1,0,0,0,0,0,0,0,1,30,0.290961477517544
1,1,1,0,0,0,0,0,0,0,1,30,0
1,0,0,1,1,0,0,0,0,0,1,30,0.484895294685612
1,1,0,1,1,0,0,0,0,0,1,30,0.404034283893889
1,0,1,1,1,0,0,0,0,0,1,30,0.585095469933753
1,0,0,0,0,1,0,0,0,0,1,30,0.332954665118416
1,1,0,0,0,1,0,0,0,0,1,30,0.566985782422596
1,0,1,0,0,1,0,0,0,0,1,30,0
1,0,0,1,1,1,0,0,0,0,1,30,0.387892746053551
1,0,0,0,0,0,1,0,0,0,1,30,0
1,1,0,0,0,0,1,0,0,0,1,30,0.298563417126934
1,0,1,0,0,0,1,0,0,0,1,30,0.518690251678955
1,0,0,1,1,0,1,0,0,0,1,30,0.425449104439268
1,0,0,0,0,1,1,0,0,0,1,30,0.333272438528489
1,0,0,0,0,0,0,1,0,0,1,30,0.34754059280604
1,1,0,0,0,0,0,1,0,0,1,30,0
1,0,1,0,0,0,0,1,0,0,1,30,0.383633694425535
1,0,0,1,1,0,0,1,0,0,1,30,0.649638926021857
1,0,0,0,0,1,0,1,0,0,1,30,0.563913092924064
1,0,0,0,0,0,1,1,0,0,1,30,0
1,0,0,0,0,0,0,0,1,0,1,30,0.418923867704046
1,1,0,0,0,0,0,0,1,0,1,30,0
1,0,1,0,0,0,0,0,1,0,1,30,0.494380765196082
1,0,0,1,1,0,0,0,1,0,1,30,0
1,0,0,0,0,1,0,0,1,0,1,30,0
1,0,0,0,0,0,1,0,1,0,1,30,0.295556032863043
1,0,0,0,0,0,0,1,1,0,1,30,0
1,0,0,0,0,0,0,0,0,1,1,30,0
1,1,0,0,0,0,0,0,0,1,1,30,0
1,0,1,0,0,0,0,0,0,1,1,30,0.49823682449512
1,0,0,1,1,0,0,0,0,1,1,30,0.492262402100717
1,0,0,0,0,1,0,0,0,1,1,30,0.271548263314157
1,0,0,0,0,0,1,0,0,1,1,30,0.249776797283127
1,0,0,0,0,0,0,1,0,1,1,30,0
1,0,0,0,0,0,0,0,1,1,1,30,0
